context_recall,faithfulness,factual_correctness,answer_relevancy,experiment_name
1.0,1.0,0.9,0.956641976814352,naive_chunker_cosine
1.0,1.0,0.48,0.9734288779110672,naive_chunker_cosine
1.0,1.0,0.41,0.9677750866031162,naive_chunker_cosine
1.0,0.9772727272727273,0.45,0.9641781157526669,naive_chunker_cosine
1.0,1.0,0.78,0.951244957026164,naive_chunker_cosine
1.0,1.0,0.97,0.8476290222726658,naive_chunker_cosine
1.0,1.0,,0.9646959493567747,naive_chunker_cosine
1.0,1.0,0.42,0.9734361282909908,naive_chunker_cosine
1.0,1.0,0.83,0.9765473169468916,naive_chunker_cosine
1.0,1.0,0.82,,naive_chunker_cosine
1.0,1.0,0.6,0.9323432517009277,naive_chunker_cosine
1.0,1.0,0.89,0.9026089412477484,naive_chunker_cosine
1.0,1.0,0.33,0.95356645985094,naive_chunker_cosine
1.0,1.0,0.87,0.8997062759408295,naive_chunker_cosine
1.0,0.9722222222222222,0.4,0.9712457162561413,naive_chunker_cosine
1.0,1.0,0.84,0.8916667890183455,naive_chunker_cosine
,0.9791666666666666,0.54,0.9933136041617049,naive_chunker_cosine
1.0,1.0,1.0,0.9133246017324197,naive_chunker_cosine
1.0,0.8333333333333334,0.44,0.9999999999999999,naive_chunker_cosine
0.0,0.0,0.0,0.0,naive_chunker_cosine
1.0,1.0,,0.9921554586334644,naive_chunker_cosine
1.0,0.875,0.8,0.9761770181823805,naive_chunker_cosine
1.0,0.8461538461538461,0.31,0.8991618124893307,naive_chunker_cosine
1.0,1.0,0.82,,naive_chunker_cosine
1.0,0.967741935483871,0.78,0.9832949124405119,naive_chunker_cosine
1.0,1.0,0.78,0.9999984750558556,naive_chunker_cosine
1.0,1.0,0.89,0.9999987591631042,naive_chunker_cosine
1.0,1.0,0.88,0.9588686299883825,naive_chunker_cosine
1.0,0.8333333333333334,0.73,0.8986442514911085,naive_chunker_cosine
1.0,1.0,0.94,1.0,naive_chunker_cosine
1.0,1.0,0.5,0.9999990144824945,naive_chunker_cosine
1.0,0.8888888888888888,0.82,0.9577350848881431,naive_chunker_cosine
1.0,1.0,0.88,0.9868275202126379,naive_chunker_cosine
1.0,1.0,0.8,0.9642428039679611,naive_chunker_cosine
1.0,1.0,0.98,0.9855023487893432,naive_chunker_cosine
1.0,0.9,0.62,,naive_chunker_cosine
1.0,1.0,0.87,0.9999991397173033,naive_chunker_cosine
1.0,1.0,0.89,0.9497822699733307,naive_chunker_cosine
1.0,1.0,0.79,0.9220007568445269,naive_chunker_cosine
1.0,1.0,0.9,0.9050903084521741,naive_chunker_cosine
1.0,1.0,0.88,0.9677169925197008,naive_chunker_cosine
1.0,1.0,0.73,0.9930375731451221,naive_chunker_cosine
1.0,1.0,0.76,0.840319484151944,naive_chunker_cosine
1.0,1.0,0.86,,naive_chunker_cosine
1.0,1.0,0.93,0.9875254535127865,naive_chunker_cosine
1.0,,0.9,0.9357708111979433,naive_chunker_cosine
1.0,1.0,0.67,0.9414624490400526,naive_chunker_cosine
1.0,1.0,0.92,,naive_chunker_cosine
1.0,1.0,0.82,0.9697848997892639,naive_chunker_cosine
1.0,0.9864864864864865,0.92,0.9439130152983138,naive_chunker_cosine
1.0,0.9444444444444444,0.88,0.9523342389620582,naive_chunker_cosine
1.0,1.0,0.76,0.9716535343877829,naive_chunker_cosine
0.6,0.8333333333333334,0.7,,naive_chunker_cosine
1.0,0.9230769230769231,0.76,0.9900786425332675,naive_chunker_cosine
1.0,0.9230769230769231,0.86,0.9793236991412074,naive_chunker_cosine
0.8,1.0,0.86,0.9655038043753216,naive_chunker_cosine
1.0,0.9565217391304348,0.87,0.9656828039647162,naive_chunker_cosine
0.6,0.6451612903225806,0.86,0.937381141448593,naive_chunker_cosine
1.0,,0.82,0.9487982322191111,naive_chunker_cosine
1.0,0.7916666666666666,0.82,0.9839610448785625,naive_chunker_cosine
1.0,,0.89,,naive_chunker_cosine
1.0,1.0,0.74,0.8887519864952079,naive_chunker_cosine
1.0,1.0,0.92,0.9521170332656655,naive_chunker_cosine
1.0,0.8636363636363636,0.69,0.956641976814352,naive_chunker_multi_query
1.0,1.0,0.57,0.9788107395547069,naive_chunker_multi_query
1.0,1.0,0.64,0.9832029444100483,naive_chunker_multi_query
0.75,0.9864864864864865,0.52,0.9641609984996281,naive_chunker_multi_query
1.0,1.0,0.77,0.9537767146004507,naive_chunker_multi_query
1.0,1.0,0.88,0.8577171750607455,naive_chunker_multi_query
1.0,1.0,0.49,0.9699740688638568,naive_chunker_multi_query
1.0,1.0,0.53,0.9454080049199304,naive_chunker_multi_query
1.0,1.0,0.67,0.9207984818848352,naive_chunker_multi_query
1.0,1.0,0.45,0.9145133433748779,naive_chunker_multi_query
1.0,1.0,1.0,0.8122860825395071,naive_chunker_multi_query
1.0,1.0,0.93,0.9217924433921812,naive_chunker_multi_query
1.0,0.9615384615384616,0.48,0.9312692532980705,naive_chunker_multi_query
1.0,1.0,0.82,0.9010659180149951,naive_chunker_multi_query
1.0,1.0,0.49,0.953613778957359,naive_chunker_multi_query
1.0,1.0,0.94,0.9000451210413568,naive_chunker_multi_query
1.0,1.0,,0.9933103684749467,naive_chunker_multi_query
1.0,1.0,0.93,0.9352205369630203,naive_chunker_multi_query
1.0,1.0,0.6,,naive_chunker_multi_query
1.0,1.0,0.77,0.9636417955597475,naive_chunker_multi_query
1.0,1.0,0.95,0.992185953117742,naive_chunker_multi_query
1.0,1.0,0.43,0.9771879272787393,naive_chunker_multi_query
1.0,0.8333333333333334,,0.9011710144191665,naive_chunker_multi_query
1.0,1.0,0.69,0.9533941867267629,naive_chunker_multi_query
1.0,1.0,0.78,0.9584988393343439,naive_chunker_multi_query
1.0,0.875,0.67,0.9999984750558556,naive_chunker_multi_query
1.0,1.0,1.0,0.9999987591631042,naive_chunker_multi_query
1.0,1.0,0.63,0.8648268363736484,naive_chunker_multi_query
1.0,0.8,0.8,0.9013204821196356,naive_chunker_multi_query
1.0,0.8571428571428571,1.0,0.9863743537362629,naive_chunker_multi_query
1.0,1.0,0.67,1.0,naive_chunker_multi_query
1.0,1.0,,0.9227272356642123,naive_chunker_multi_query
1.0,1.0,0.92,0.9079777158893158,naive_chunker_multi_query
1.0,0.6666666666666666,0.73,0.9642428039679611,naive_chunker_multi_query
1.0,1.0,1.0,0.9855023487893432,naive_chunker_multi_query
1.0,0.8,0.67,0.9603841732638316,naive_chunker_multi_query
1.0,1.0,0.77,0.9999999999999994,naive_chunker_multi_query
1.0,0.9423076923076923,0.79,0.9586712185790383,naive_chunker_multi_query
1.0,1.0,0.89,0.944785203132373,naive_chunker_multi_query
1.0,,0.96,0.8807617359445791,naive_chunker_multi_query
1.0,1.0,0.85,0.9381401488729963,naive_chunker_multi_query
1.0,1.0,0.8,0.9930375731451221,naive_chunker_multi_query
1.0,0.9285714285714286,0.83,0.845854989801142,naive_chunker_multi_query
1.0,1.0,0.93,0.886091216340776,naive_chunker_multi_query
1.0,1.0,0.88,0.9893786594703201,naive_chunker_multi_query
1.0,0.9347826086956522,0.92,0.9358666850397118,naive_chunker_multi_query
1.0,0.9090909090909091,0.75,0.9267099945113259,naive_chunker_multi_query
1.0,0.9782608695652174,0.81,0.9553120441509892,naive_chunker_multi_query
1.0,1.0,0.98,0.9781135026228709,naive_chunker_multi_query
1.0,0.9838709677419355,0.71,0.9317320159725947,naive_chunker_multi_query
1.0,1.0,0.95,0.9542357245436518,naive_chunker_multi_query
1.0,0.9,0.73,0.9711848583665522,naive_chunker_multi_query
0.6,0.7777777777777778,0.15,0.0,naive_chunker_multi_query
1.0,0.9285714285714286,0.71,0.9729742980433299,naive_chunker_multi_query
1.0,0.7272727272727273,0.76,0.9692184670571526,naive_chunker_multi_query
1.0,0.9473684210526315,0.9,0.9866556311321811,naive_chunker_multi_query
1.0,0.9166666666666666,0.82,0.9753614824333794,naive_chunker_multi_query
1.0,0.8846153846153846,,0.929013673086454,naive_chunker_multi_query
1.0,1.0,0.8,0.9450552000927085,naive_chunker_multi_query
1.0,1.0,0.79,0.0,naive_chunker_multi_query
1.0,1.0,0.85,0.963187489536489,naive_chunker_multi_query
1.0,1.0,0.83,0.9212276187133736,naive_chunker_multi_query
1.0,1.0,0.9,0.9415208567357545,naive_chunker_multi_query
1.0,1.0,0.78,0.9521609983191753,markdown_chunker_cosine
1.0,1.0,0.46,0.9616480784915721,markdown_chunker_cosine
0.5,1.0,0.67,0.9831902566712079,markdown_chunker_cosine
0.25,0.9743589743589743,0.26,0.9579908202222148,markdown_chunker_cosine
1.0,1.0,0.71,0.95142211447912,markdown_chunker_cosine
1.0,0.9,0.76,0.8547878798290668,markdown_chunker_cosine
0.3333333333333333,1.0,0.17,0.9620605927780633,markdown_chunker_cosine
1.0,1.0,0.47,0.9785337632033458,markdown_chunker_cosine
1.0,0.8571428571428571,0.44,0.9561667468315292,markdown_chunker_cosine
0.6666666666666666,0.8,0.18,0.9173902515728164,markdown_chunker_cosine
1.0,1.0,0.5,0.8331267974101141,markdown_chunker_cosine
1.0,1.0,0.9,0.9126516542693558,markdown_chunker_cosine
1.0,0.9444444444444444,0.69,0.9293952795109913,markdown_chunker_cosine
1.0,0.875,0.8,0.9051554715815159,markdown_chunker_cosine
0.8,0.8823529411764706,0.38,0.9387467819614567,markdown_chunker_cosine
1.0,1.0,0.96,0.9163132175538106,markdown_chunker_cosine
0.0,1.0,0.23,0.9933136041617049,markdown_chunker_cosine
1.0,1.0,0.83,0.9244456760944145,markdown_chunker_cosine
1.0,1.0,0.73,0.9999999999999999,markdown_chunker_cosine
0.0,0.0,0.0,0.0,markdown_chunker_cosine
0.75,1.0,0.5,0.9900714399677533,markdown_chunker_cosine
1.0,1.0,0.67,0.9652803487385665,markdown_chunker_cosine
1.0,1.0,0.5,0.0,markdown_chunker_cosine
0.6666666666666666,0.6363636363636364,0.7,0.9666884542020346,markdown_chunker_cosine
1.0,1.0,0.75,0.9840135894886081,markdown_chunker_cosine
0.5,0.625,0.78,0.9999999999999997,markdown_chunker_cosine
1.0,0.8333333333333334,1.0,0.9999999999999997,markdown_chunker_cosine
1.0,1.0,0.86,0.9322026805355369,markdown_chunker_cosine
0.0,1.0,0.83,0.9492824570871846,markdown_chunker_cosine
1.0,0.7777777777777778,0.95,0.9999604714731515,markdown_chunker_cosine
1.0,1.0,0.6,1.0,markdown_chunker_cosine
1.0,1.0,0.95,0.9577562406676782,markdown_chunker_cosine
1.0,1.0,1.0,0.9071611178386293,markdown_chunker_cosine
1.0,1.0,0.86,0.9628033710075062,markdown_chunker_cosine
0.42857142857142855,1.0,0.24,0.9854798547638249,markdown_chunker_cosine
1.0,0.8333333333333334,0.91,0.9616041810961754,markdown_chunker_cosine
0.25,1.0,0.36,0.9999999999999994,markdown_chunker_cosine
0.75,1.0,0.6,0.9497822699733307,markdown_chunker_cosine
0.3333333333333333,1.0,0.52,0.9067582841036899,markdown_chunker_cosine
0.5,1.0,0.6,0.9126979335181137,markdown_chunker_cosine
0.3333333333333333,1.0,0.6,0.9459491981180648,markdown_chunker_cosine
1.0,1.0,0.67,0.9914949600002312,markdown_chunker_cosine
1.0,1.0,0.74,0.8402969746299592,markdown_chunker_cosine
0.5,1.0,0.71,0.9020405211743515,markdown_chunker_cosine
1.0,1.0,0.92,0.9794708094585695,markdown_chunker_cosine
0.5,1.0,0.5,0.9592018687831684,markdown_chunker_cosine
1.0,0.8,0.78,0.9521854509540425,markdown_chunker_cosine
0.42857142857142855,0.8,0.46,0.9183774278408396,markdown_chunker_cosine
0.25,1.0,0.43,0.9763226150975832,markdown_chunker_cosine
0.3333333333333333,1.0,,0.9439130152983138,markdown_chunker_cosine
1.0,0.8571428571428571,0.89,,markdown_chunker_cosine
0.6666666666666666,0.5714285714285714,0.64,,markdown_chunker_cosine
0.4,0.0,0.0,0.0,markdown_chunker_cosine
0.75,0.8888888888888888,0.75,0.9859621272897678,markdown_chunker_cosine
0.75,0.8181818181818182,0.62,0.9763336505001384,markdown_chunker_cosine
0.6,0.8,,0.953029313222609,markdown_chunker_cosine
0.4,0.6666666666666666,0.72,0.9587865809073343,markdown_chunker_cosine
0.6,0.35714285714285715,0.62,0.9267597797433593,markdown_chunker_cosine
0.5,0.7142857142857143,0.56,0.9413336162404803,markdown_chunker_cosine
0.4,0.47368421052631576,0.78,0.9639885218025016,markdown_chunker_cosine
0.4,0.8947368421052632,0.81,0.93664161799372,markdown_chunker_cosine
1.0,1.0,0.69,0.9268205060739013,markdown_chunker_cosine
0.42857142857142855,0.8636363636363636,0.81,0.9341140203619399,markdown_chunker_cosine
1.0,0.8461538461538461,0.83,0.9833222933713005,markdown_chunker_multi_query
1.0,1.0,0.38,0.9516191996022408,markdown_chunker_multi_query
0.5,0.9166666666666666,,0.9832196762572116,markdown_chunker_multi_query
0.25,0.9166666666666666,0.61,0.9652804647501925,markdown_chunker_multi_query
1.0,1.0,0.8,1.0000000000000002,markdown_chunker_multi_query
1.0,1.0,0.82,0.854955455433676,markdown_chunker_multi_query
0.3333333333333333,1.0,0.28,0.9675611102836084,markdown_chunker_multi_query
1.0,1.0,0.32,0.9754185571880333,markdown_chunker_multi_query
1.0,1.0,0.6,0.9765473169468916,markdown_chunker_multi_query
0.3333333333333333,0.9166666666666666,0.34,,markdown_chunker_multi_query
1.0,,0.5,0.8327554606141407,markdown_chunker_multi_query
1.0,1.0,0.93,0.9077772111097565,markdown_chunker_multi_query
1.0,1.0,0.63,0.9933589391394461,markdown_chunker_multi_query
1.0,1.0,0.93,0.9040291509649355,markdown_chunker_multi_query
1.0,0.8333333333333334,0.47,0.9387467819614567,markdown_chunker_multi_query
1.0,1.0,0.95,0.9259470689536865,markdown_chunker_multi_query
0.0,1.0,0.11,0.9905604436806844,markdown_chunker_multi_query
1.0,0.9,1.0,0.9131205521505265,markdown_chunker_multi_query
1.0,1.0,0.6,0.9999999999999999,markdown_chunker_multi_query
1.0,1.0,0.78,0.9615233500299499,markdown_chunker_multi_query
0.75,1.0,0.62,0.9893860448359725,markdown_chunker_multi_query
1.0,1.0,0.63,0.9696775147032518,markdown_chunker_multi_query
0.0,1.0,0.67,0.0,markdown_chunker_multi_query
0.6666666666666666,0.9,0.78,0.9876507718854447,markdown_chunker_multi_query
1.0,0.8571428571428571,0.64,0.9798022265392886,markdown_chunker_multi_query
0.5,1.0,0.75,0.992130982847344,markdown_chunker_multi_query
1.0,0.8,0.88,0.9999999999999997,markdown_chunker_multi_query
1.0,1.0,0.75,0.827300781503089,markdown_chunker_multi_query
0.0,1.0,0.8,0.959925320237109,markdown_chunker_multi_query
1.0,0.9,0.78,0.9999999999999996,markdown_chunker_multi_query
1.0,1.0,0.6,0.9999990144824945,markdown_chunker_multi_query
1.0,0.8888888888888888,0.75,0.9577350848881431,markdown_chunker_multi_query
1.0,1.0,0.78,0.9807919031440635,markdown_chunker_multi_query
1.0,0.75,0.86,0.9478620788405719,markdown_chunker_multi_query
0.42857142857142855,1.0,0.67,0.9854798547638249,markdown_chunker_multi_query
1.0,1.0,0.75,0.9613181487762784,markdown_chunker_multi_query
,1.0,0.5,,markdown_chunker_multi_query
0.75,1.0,0.69,0.9572205490748277,markdown_chunker_multi_query
0.3333333333333333,1.0,0.65,0.9424657785769224,markdown_chunker_multi_query
0.5,1.0,0.72,0.9114774027705126,markdown_chunker_multi_query
0.3333333333333333,1.0,0.56,0.9374118242070152,markdown_chunker_multi_query
1.0,0.75,0.67,0.9914949600002312,markdown_chunker_multi_query
1.0,1.0,0.82,0.8417777965666805,markdown_chunker_multi_query
1.0,1.0,0.65,0.9165046360910237,markdown_chunker_multi_query
1.0,1.0,0.88,,markdown_chunker_multi_query
0.25,1.0,0.5,0.9455031016782844,markdown_chunker_multi_query
1.0,1.0,0.9,0.9244892478775059,markdown_chunker_multi_query
0.42857142857142855,1.0,0.4,0.9183427662912523,markdown_chunker_multi_query
0.25,0.9259259259259259,0.52,0.9655943687738083,markdown_chunker_multi_query
1.0,,0.53,0.9439130152983138,markdown_chunker_multi_query
1.0,0.7333333333333333,0.91,0.9475264839407772,markdown_chunker_multi_query
1.0,1.0,0.63,0.9725908864302445,markdown_chunker_multi_query
0.8,0.9047619047619048,,0.9450363049709744,markdown_chunker_multi_query
0.75,0.9166666666666666,,0.9729742980433299,markdown_chunker_multi_query
0.75,0.9230769230769231,0.87,0.9806141464638101,markdown_chunker_multi_query
0.4,0.75,0.63,0.9484245866895796,markdown_chunker_multi_query
0.4,0.7272727272727273,0.74,0.9630652188179522,markdown_chunker_multi_query
0.6,0.3333333333333333,0.59,0.9361388565516263,markdown_chunker_multi_query
0.5,0.6071428571428571,0.6,0.9428833651899923,markdown_chunker_multi_query
0.4,0.5263157894736842,0.51,0.9658275796132635,markdown_chunker_multi_query
0.4,0.6190476190476191,0.74,,markdown_chunker_multi_query
1.0,1.0,0.56,0.9402743215772492,markdown_chunker_multi_query
0.42857142857142855,,0.71,0.944295323695347,markdown_chunker_multi_query
